date,Account,sentiment,trades,volume_usd,avg_trade_usd,long_ratio,pnl,fees,win_rate,activity_segment,volume_segment,consistency_segment
2023-03-28,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,3,477.0,159.0,1.0,0.0,0.0,0.0,Infrequent,LowVolume,Inconsistent
2023-11-14,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,2,46133.87,23066.935,1.0,0.0,11.072125999999999,0.0,Infrequent,LowVolume,Inconsistent
2023-11-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,1043,11509295.89,11034.799511025887,0.46883988494726747,155.50335699999994,2797.398462,0.2751677852348993,Infrequent,HighVolume,Consistent
2024-03-09,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,27,82312.05,3048.5944444444444,0.14814814814814814,-5564.01614,6.3427299999999995,0.3333333333333333,Infrequent,LowVolume,Inconsistent
2024-03-09,0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,88,99995.52,1136.3127272727272,1.0,0.0,253.10601,0.0,Infrequent,LowVolume,Consistent
2024-03-09,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,730,4540452.9,6219.798493150685,0.48904109589041095,-7919.471032000002,1589.158168,0.30684931506849317,Infrequent,LowVolume,Inconsistent
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,3041,11184217.49,3677.8091055573827,0.4633344294639921,187842.08419,687.938263,0.8240710292666886,Frequent,HighVolume,Consistent
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,3076,23499792.29,7639.724411573472,0.49187256176853056,2606.8947559999997,4758.370992,0.21879063719115735,Frequent,HighVolume,Consistent
2024-07-03,0x271b280974205ca63b716753467d5a371de622ab,Neutral,5,30351.0,6070.2,0.4,-1.0,10.197932,0.0,Infrequent,LowVolume,Consistent
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,80,61379.82,767.24775,0.4375,215.754798,37.383029,0.1,Infrequent,LowVolume,Inconsistent
2024-07-03,0x430f09841d65beb3f27765503d0f850b8bce7713,Neutral,249,438228.42,1759.9534939759035,0.012048192771084338,145563.448374,31.790452000000002,0.9518072289156626,Infrequent,LowVolume,Consistent
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Neutral,1309,13339126.17,10190.317929717341,0.5393430099312452,-25991.506339,4668.693244,0.3315508021390374,Infrequent,HighVolume,Inconsistent
2024-07-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Neutral,6,209.5,34.916666666666664,0.5,0.16271999999999998,0.047003,0.16666666666666666,Infrequent,LowVolume,Consistent
2024-07-03,0x8477e447846c758f5a675856001ea72298fd9cb5,Neutral,3810,2942740.7,772.3728871391077,0.4477690288713911,-9125.157325,903.689727,0.32545931758530183,Frequent,LowVolume,Consistent
2024-07-03,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Neutral,39,307215.74,7877.326666666667,0.7948717948717948,-14505.50575,138.24399527,0.0,Infrequent,LowVolume,Consistent
2024-07-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,1643,4723983.0,2875.2178940961658,0.6202069385270846,62586.1816,2953.83210411,0.20998174071819842,Infrequent,LowVolume,Consistent
